id	artist	album	song	format_song
c82bf53d6d9443718440597a6957bc17	Alabama Shakes	Sound & Color	-01 Sound & Color	Sound_&_Color
71b41275bff845668d3d05f4e9123ca0	Alabama Shakes	Sound & Color	-02 Don't Wanna Fight	Don't_Wanna_Fight
9e84e38f4bb544f2851175f3c64c9a62	Alabama Shakes	Sound & Color	-03 Dunes	Dunes
d5ebc9ca2db84eb18906ae97722d4da6	Alabama Shakes	Sound & Color	-04 Future People	Future_People
3c000dc865e947d1879a4b6e7853f0bb	Alabama Shakes	Sound & Color	-05 Gimme All Your Love	Gimme_All_Your_Love
aafd5a6093a84d8eaea2455e4ccf7268	Alabama Shakes	Sound & Color	-06 This Feeling	This_Feeling
dfd0d30de8ac4910b63f51ce105db24a	Alabama Shakes	Sound & Color	-07 Guess Who	Guess_Who
6e91f30a0a884b6880f8bac6a924d04b	Alabama Shakes	Sound & Color	-08 The Greatest	The_Greatest
fa47df8483794b3aa0c50aac01ecfd11	Alabama Shakes	Sound & Color	-09 Shoegaze	Shoegaze
3f1d91a407724a8dbda076e33f707bbe	Alabama Shakes	Sound & Color	-10 Miss You	Miss_You
06f5740b0d31457184a8db928158ea60	Alabama Shakes	Sound & Color	-11 Gemini	Gemini
7b8bad9077234d6facc51dabc8e6036c	Alabama Shakes	Sound & Color	-12 Over My Head	Over_My_Head
b1b4dd04e44a43c39eaa81a1ee773dba	Alabama Shakes	Sound & Color	-01 Gimme All Your Love (Live From The Artists Den)	Gimme_All_Your_Love_Live_From_The_Artists_Den
f6afb9afaa214968be9fb6c6a44b93ee	Alabama Shakes	Sound & Color	-02 The Greatest (Live From The Artists Den)	The_Greatest_Live_From_The_Artists_Den
a2ebca203f6644b4b9d9d1ba787ba9ad	Alabama Shakes	Sound & Color	-03 Joe (Live From The Artists Den)	Joe_Live_From_The_Artists_Den
4c34ff1b7fab4d6782a7b9c4477639e1	Assemble Head In Sunburst Sound	When Sweet Sleep Returned	The Slumbering Ones	The_Slumbering_Ones
7432393a014b4990b9acab750b1d535b	Assemble Head In Sunburst Sound	When Sweet Sleep Returned	Two Birds	Two_Birds
0059913d811548cb8e100d72142728de	Atmosphere	To All My Friends, Blood Makes the Blade Holy_ The Atmosphere EP's	The Major Leagues	The_Major_Leagues
594db8223c7a4a92902d61075df04c19	B.o.B	Unknown Album	Ghost in the Machine	Ghost_in_the_Machine
6c2935c4685a4a5c8e90dd13b9288335	Band of horses	Cease to begin	 Detlef Schrempf	Detlef_Schrempf
7219cdcf998f4d3caf10bb6092b7f46f	Band of horses	Cease to begin	 island on the coast	island_on_the_coast
82c3c504cdd3403abd7c698a75003fad	Band of horses	Cease to begin	 cigarettes wedding bands	cigarettes_wedding_bands
9bde99d9a2a94a9185dee9450ae36141	Band of horses	Everything All the Time	 Part One	Part_One
48cbb63d8dfb47bfb9b8d921fdaea502	Band of horses	Infinite Arms	 Factory	Factory
3f4f8ea0acf84748bada8f12cab7ec62	Band of horses	Infinite Arms	-02 Compliments	Compliments
417fabb71b5b4f189dc9c5cb58bcaf2d	Band of horses	Infinite Arms	-03 Laredo	Laredo
a73d932ee2d24f82ae3a8be2b19f4d99	Band of horses	Infinite Arms	-04 Blue Beard	Blue_Beard
bafeb6e94e3b4823aa0d03aabb199e99	Band of horses	Infinite Arms	-05 Way Back Home	Way_Back_Home
ec15b4702db0429e8ad04a4e8078edf7	Band of horses	Infinite Arms	-07 Dilly	Dilly
0ee32259f591441593818a4b3fae9cb8	Band of horses	Infinite Arms	-10 Trudy	Trudy
1aa6b8fbff2a4e12a6e48f6cb0a7f206	Band of horses	Infinite Arms	 Bartles + James	Bartles_+_James
24fa3794487b4b159e65db0697d26b56	Beach House	Devotion	 Wedding Bell	Wedding_Bell
4396c84cdf4b4892851b04dcd22a2325	Beach House	Devotion	 You Came to Me	You_Came_to_Me
48c720d8cf4643129fccdd052fd0f5c2	Beach House	Devotion	 Gila	Gila
3ca801c1942a4f3394594b9901d2dd04	Beach House	Devotion	 Turtle Island	Turtle_Island
bc6932084a254b6aaa479004203b672f	Beach House	Devotion	 Holy Dances	Holy_Dances
8d490cdfb72344b9ad629ee92c9416ca	Beach House	Devotion	 All the Years	All_the_Years
3e56ed6ef98747e1b978503fa505ffde	Beach House	Devotion	 Heart of Chambers	Heart_of_Chambers
893fc64e7f804e3fb4b06fba8acbf1d4	Beach House	Devotion	 Some Things Last a Long Time	Some_Things_Last_a_Long_Time
79b05245cea245a5af29fc7cffafdf89	Beach House	Devotion	 Astronaut	Astronaut
8a4459cbfebb4a03a58f3feb4cd1f603	Beach House	Devotion	 D.A.R.L.I.N.G	DARLING
954537214a0e4a52ba8548a7ee049853	Beach House	Devotion	 Home Again	Home_Again
647a47337709410d8305ee9288fcd61b	Beach House	Teen Dream	 Silver Soul	Silver_Soul
f997890fd4ab4794a76618dc9a071adb	Beach House	Teen Dream	 Norway	Norway
12f1d9de846c48ed8fa239ad34e2cf95	Beach House	Teen Dream	 Walk In The Park	Walk_In_The_Park
57e134050bc84263a4ead1efcdfe1404	Beach House	Teen Dream	 Used To Be	Used_To_Be
5d07ae5aad944e7f82f02b0343c20354	Beach House	Teen Dream	 Lover Of Mine	Lover_Of_Mine
1bb4512f1f0c4770bddbf9fd7e3fd4e8	Beach House	Teen Dream	 Better Times	Better_Times
2ff10f52d5cf4108909e2dd7b0f2c936	Beach House	Teen Dream	 10 Mile Stereo	10_Mile_Stereo
f0f24d85bac64e59b7286e6f93d77619	Beach House	Teen Dream	 Real Love	Real_Love
bc39254cbb9048459582c825a0740110	Beach House	Teen Dream	 Take Care	Take_Care
989f66bd7cec4b8fa53d94be5525cef0	Beach House	Teen Dream	Zebra	Zebra
b924ff38a62846069a2d8684c37b03f8	Big Star	No1 Record - Radio City	 Feel	Feel
cb80fd800ced401ab622cf8c55d1c9b1	Big Star	No1 Record - Radio City	 The Ballad Of El Goodo	The_Ballad_Of_El_Goodo
615bb2299eb3433bab2b35b74511cf39	Big Star	No1 Record - Radio City	 In The Street	In_The_Street
9bbbe9f587a5448e999b5d379e8e1546	Big Star	No1 Record - Radio City	 Thirteen	Thirteen
5f3178e2251e417e861bc80bef3013ae	Big Star	No1 Record - Radio City	 Don't Lie To Me	Don't_Lie_To_Me
905aff0be62b4470b14b786553cf6a34	Big Star	No1 Record - Radio City	 The India Song	The_India_Song
226af2fe03d64a3c85ab05f3e3316fa6	Big Star	No1 Record - Radio City	 When My Baby's Beside Me	When_My_Baby's_Beside_Me
dbae4fb683d949cd9242db2b323a8e54	Big Star	No1 Record - Radio City	 My Life Is Right	My_Life_Is_Right
8a4e19c8f1ce47cb81379dcfca646bcd	Big Star	No1 Record - Radio City	 Give Me Another Chance	Give_Me_Another_Chance
d2386843533a421896e8312c2ae2273f	Big Star	No1 Record - Radio City	 Try Again	Try_Again
287a0ab72ad945ef9d15eccd2d32e160	Big Star	No1 Record - Radio City	 Watch The Sunrise	Watch_The_Sunrise
8c9d5f2d36c34b10bd2b607c7cef1fdf	Big Star	No1 Record - Radio City	 St 100 6	St_100_6
fbb117947c464f7ea40b1a22d0b95ff7	Big Star	No1 Record - Radio City	 O My Soul	O_My_Soul
c2a38eb62281410a98460238836bca53	Big Star	No1 Record - Radio City	 Life Is White	Life_Is_White
b46eff18185149da82a683086f149e78	Big Star	No1 Record - Radio City	 Way Out West	Way_Out_West
94a5e650a058440180f4b3fc3ef843c2	Big Star	No1 Record - Radio City	 What's Going Ahn	What's_Going_Ahn
46132b6de24e480f815fe9b974d44b69	Big Star	No1 Record - Radio City	 You Get What You Deserve	You_Get_What_You_Deserve
7d91063b1df8404e8645a9034550664a	Big Star	No1 Record - Radio City	 Mod Lang	Mod_Lang
d4c86966e1e748ecba28f537d932ed3b	Big Star	No1 Record - Radio City	 Back Of A Car	Back_Of_A_Car
37dca07ce8d34830b3d40f88ac069551	Big Star	No1 Record - Radio City	 Daisy Glaze	Daisy_Glaze
f39d928263da4c1b9c2b51f9890eefce	Big Star	No1 Record - Radio City	 She's A Mover	She's_A_Mover
b440826c895d4be29a4ccf3d264a535c	Big Star	No1 Record - Radio City	 September Gurls	September_Gurls
c3304b564e364afa892ae9f785c62bd7	Big Star	No1 Record - Radio City	 Morpha Too	Morpha_Too
cf61450ebb80407e85a93d5a568a3b2b	Big Star	No1 Record - Radio City	 I'm In Love With A Girl	I'm_In_Love_With_A_Girl
ac424a584e814e60ab4e5f5f2e8a0f46	bitcrush	One Five Zero	-03 what would hope be without disappointment	what_would_hope_be_without_disappointment
799b87235453461aa5ae8b53928efc61	bitcrush	One Five Zero	-10 in distance (keef baker remix)	in_distance_keef_baker_remix
56e2774d72364c74af5e6fa0eb7f6b2f	Blind Pilot	3 Rounds and a Sound	 Oviedo	Oviedo
c65daea2f48b4e618a8e5aa3b306fd7a	Blind Pilot	3 Rounds and a Sound	 Paint or Pollen	Paint_or_Pollen
22d0ae0ea73e430288735c79eec4360c	Blind Pilot	3 Rounds and a Sound	 Poor Boy	Poor_Boy
8e1c31783fe74a03abe294006b721616	Blind Pilot	3 Rounds and a Sound	 One Red Thread	One_Red_Thread
4172e12e4d71409ea4b500e306726871	Blind Pilot	3 Rounds and a Sound	 Go On, Say It	Go_On_Say_It
57f2c9abf1894544a2c940e86e941a85	Blind Pilot	3 Rounds and a Sound	 I Buried a Bone	I_Buried_a_Bone
9895abe163824e4a8e2a91b9dea6b791	Blind Pilot	3 Rounds and a Sound	-09 Things I Cannot Recall	Things_I_Cannot_Recall
440cc79a4bd54c04bde1cd311f80f352	Blind Pilot	3 Rounds and a Sound	 The Bitter End	The_Bitter_End
74a7ae5478e340f59d783e9af614d067	Blind Pilot	3 Rounds and a Sound	 3 Rounds and a Sound	_Rounds_and_a_Sound
879c0a66d81749088c47c6faed8fe0fc	Blockhead	PLM 2010 Fall Tour Opening Act Compilation	 Farewell Spaceman	Farewell_Spaceman
de8197306f784a10ae93d97ac9c5fc5d	Blue Scholars	Unknown Album	Ordinary Guys	Ordinary_Guys
bf2216f50a2c43ce9a5150e5336d7be1	Boston	Boston_ Greatest Hits	Rock & Roll Band	Rock_&_Roll_Band
7baf0fe87881482c8656f589e9cc335a	Boston	Don't Look Back	Don't Look Back	Don't_Look_Back
99b52792a1b344a8ad6682e9a4630458	Bright Eyes	I'm Wide Awake It's Morning	At the Bottom of Everything	At_the_Bottom_of_Everything
a9824affaf7d42948736c44701be3536	Bright Eyes	The People's Key	 Firewall	Firewall
6d73fd2e91cf4af39429b2376bd21421	Bright Eyes	The People's Key	 Jejune Stars	Jejune_Stars
9364ac65afe048b69e631e8d118cd892	Bright Eyes	The People's Key	 Approximate Sunlight	Approximate_Sunlight
1481c9522b054dd599bc7382268c27fe	Bright Eyes	The People's Key	 Haile Selassie	Haile_Selassie
2cb161507c9a49bea8de3c14e8788791	Bright Eyes	The People's Key	 A Machine Spiritual (In the People's Key)	A_Machine_Spiritual_In_the_People's_Key
725de44ec0be4f6eb6d12258f538d50f	Bright Eyes	The People's Key	 Triple Spiral	Triple_Spiral
cc4e65cc41474d4495509e3ab8132e00	Bright Eyes	The People's Key	 Beginner's Mind	Beginner's_Mind
8d153fbd06154cd0b9918ac04a2f7581	Bright Eyes	The People's Key	 Ladder Song	Ladder_Song
8fca2d1e022048e4a564c837d6ee2b22	Bright Eyes	The People's Key	 One for You, One for Me	One_for_You_One_for_Me
04c942ad9827493c8254c1f776804e28	Cage The Elephant	Cage The Elephant	 James Brown	James_Brown
821e8da1eeee42fc80ad72101cab1738	Cage The Elephant	Cage The Elephant	 Aint No Rest For The Wicked	Aint_No_Rest_For_The_Wicked
5bf82296da82446da95ce9bd47d83a0e	Cage The Elephant	Cage The Elephant	 Tiny Little Robots	Tiny_Little_Robots
9c401478f4854a2f8d5f34d2e5f11d0a	Cage The Elephant	Cage The Elephant	 Lotus	Lotus
c34da262f76b471d845b4686c3b9f1c5	Cage The Elephant	Cage The Elephant	 Back Against The Wall	Back_Against_The_Wall
c809939b5f2842f2bb0fa5c21e43ba2c	Cage The Elephant	Cage The Elephant	 Judas	Judas
a6ea8e16d2e24f05872ec9614863f503	Cage The Elephant	Cage The Elephant	 Soil To The Sun	Soil_To_The_Sun
696f27269b6d480d99c1b30f5252b263	Cage The Elephant	Cage The Elephant	 Free Love	Free_Love
6621d8baefc3450082445df571d653f6	Clive Tanaka y su Orquesta	Unknown Album	Neu Chicago	Neu_Chicago
2e29a5d72b99461f83e279e73165f0ca	Coconut Records	Nighttiming	Easy Girl	Easy_Girl
b2c7af522a0e47c1942af431eb306155	Coconut Records	Nighttiming	Mama	Mama
c2c702c6f3c6436f814d6e029f06a2d7	Coconut Records	Nighttiming	Minding My Own Business	Minding_My_Own_Business
bd9b87155b7b4fe3a2988d11b375c069	Cold War Kids	Robbers & Cowards	 We Used To Vacation	We_Used_To_Vacation
67a3481c37af438e854ad617c950b8a2	Cold War Kids	Robbers & Cowards	 Hang Me Up To Dry	Hang_Me_Up_To_Dry
1ab9e426f4964ef3a3278e79e5cc971f	Cold War Kids	Robbers & Cowards	 Tell Me In The Morning	Tell_Me_In_The_Morning
08bd708d5b614271940aef185c784c03	Cold War Kids	Robbers & Cowards	 Hair Down	Hair_Down
6a3e5d9e686249efb3c586e858b61ea8	Cold War Kids	Robbers & Cowards	 Passing The Hat	Passing_The_Hat
08b854e6742842e0a3e2e23894fa4756	Cold War Kids	Robbers & Cowards	 Saint John	Saint_John
c1a6ffe526cf48b4b268444a4c879a50	Cold War Kids	Robbers & Cowards	 Robbers	Robbers
8f66ab27da964b878e5feaec4041d848	Cold War Kids	Robbers & Cowards	 Hospital Beds	Hospital_Beds
e1d21177aef04ccf9d111dd10b31954b	Cold War Kids	Robbers & Cowards	 Pregnant	Pregnant
204f283648174f7e8fdd025cfc62b489	Cold War Kids	Robbers & Cowards	 Red Wine, Success!	Red_Wine_Success!
abfd447cc4a144b0948ceecc62fdc2ba	Cold War Kids	Robbers & Cowards	 God, Make Up Your Mind	God_Make_Up_Your_Mind
6d8eb61dc99947729223c7dcce16419f	Cold War Kids	Robbers & Cowards	 Rubidoux	Rubidoux
efefa40886f143b591cadd0283a821ed	Compilations	Man On The Moon II_ The Legend Of Mr. Rager	 Scott Mescudi Vs. The World	Scott_Mescudi_Vs_The_World
604bb2dfa90e46d9bd634078067cf0d3	Compilations	Man On The Moon II_ The Legend Of Mr. Rager	 REVOFEV	REVOFEV
b37e452a64ad4df4be9c8788c5825a02	Compilations	Man On The Moon II_ The Legend Of Mr. Rager	 Don't Play This Song	Don't_Play_This_Song
3d293ea51ea146aeb800e0387dc24e7c	Compilations	Man On The Moon II_ The Legend Of Mr. Rager	 We Aite (Wake Your Mind Up)	We_Aite_Wake_Your_Mind_U
8d7f63dbd04d493aaff2a5add0f0eb4d	Compilations	Man On The Moon II_ The Legend Of Mr. Rager	 Marijuana	Marijuana
6f0dba3e59674401a101728fca4af4d2	Compilations	Man On The Moon II_ The Legend Of Mr. Rager	 Mojo So Dope	Mojo_So_Dope
ab4a6127d43e4b8296af06db051f9dc8	Compilations	Man On The Moon II_ The Legend Of Mr. Rager	 Erase Me	Erase_Me
61b76f0ed050403e90f85cfcc0352b78	Compilations	Man On The Moon II_ The Legend Of Mr. Rager	 Wild'n Cuz I'm Young	Wild'n_Cuz_I'm_Young
097a7ab57dc34e5bb78c1a1d622429b2	Compilations	Man On The Moon II_ The Legend Of Mr. Rager	 The Mood	The_Mood
5ea8564d053544a69ad15d37cd6bf221	Compilations	Man On The Moon II_ The Legend Of Mr. Rager	 MANIAC	MANIAC
8e202532e2484c2c81570b623e315a3e	Compilations	Man On The Moon II_ The Legend Of Mr. Rager	 Mr. Rager	Mr_Rager
15b2c2075a644868a065b5d81dbbfec1	Compilations	Man On The Moon II_ The Legend Of Mr. Rager	 These Worries	These_Worries
c7baed781bc247de936e06709a04e09c	Compilations	Man On The Moon II_ The Legend Of Mr. Rager	 The End	The_End
7ad5136716f14a0694018924e1f834b3	Compilations	Man On The Moon II_ The Legend Of Mr. Rager	 All Along	All_Along
97277d2570fd4cb8a10e653c8cc88b45	Compilations	Man On The Moon II_ The Legend Of Mr. Rager	 GHOST!	GHOST!
4bbf0949ca2a4d36ac421c3dc9b66e7e	Compilations	Man On The Moon II_ The Legend Of Mr. Rager	 Trapped In My Mind	Trapped_In_My_Mind
37b569bcf62140baa35fb2c36d2563c1	Compilations	Quiet is the New Loud	Winning A Battle, Losing A War	Winning_A_Battle_Losing_A_War
f34716afd4034be49e57fe77e3bce3d4	Compilations	Ratatat Remixes Mixtape Volume 2	 Sto	Sto
45c97dbab4184b2b9ffe4db97f2abbb4	Compilations	Scharfy's Indie Mixtape May 2009	 Pulling on a Line	Pulling_on_a_Line
a854ea87616346f78bd370ba24077904	Compilations	Scharfy's Indie Mixtape May 2009	-21 Kiss me Again	Kiss_me_Again
40eb5fe0fda94648b60332fa1181e912	Compilations	Scharfy's Indie Mixtape May 2009	-48 Last Time Around	Last_Time_Around
0a8ce32fcc7744ffb61bb3a48a723266	Compilations	Scharfy's Indie Mixtape May 2009	-59 Well, Whatever	Well_Whatever
a6748585032945e1beeb5fe35ba4d72d	Compilations	Scharfy's Indie Mixtape May 2009	-69 Charlie Darwin	Charlie_Darwin
15fcd6bae85940cb960941f393ffbdaa	Compilations	Scharfy's Indie Mixtape May 2009	-71 Lalita	Lalita
6e526f106eb443ce9d3816052fe719c8	Compilations	Scharfy's Indie Mixtape May 2009	-80 Osaka Loop Line	Osaka_Loop_Line
942fd6b6bb2749519f2995f9cafd0814	Compilations	Scharfy's Indie Mixtape May 2009	-88 gotta cheer u	gotta_cheer_u
b3eac1d2fed24fac8a151eaba980480e	Compilations	Scharfy's Indie Mixtape May 2009	-89 I Want You To Know	I_Want_You_To_Know
eb3a83867b2b442eb35b1000dc0add36	Compilations	Scharfy's Indie Mixtape May 2009	 Spritle	Spritle
9bf0650130904cc7835f4c93838ce255	Compilations	The Shepherd's Dog	Flightless Bird, American Mouth	Flightless_Bird_American_Mouth
c223faae07df475fb310b1d5e44c36b8	CunningLynguists	Unknown Album	Dance For Me	Dance_For_Me
bccd0fc907f04fb7b26cccdf9557dbc6	Cyne	Evolution Fight	-02 SoapBox	SoapBox
74c4723ae5d9437cb1c3444fa6a9116a	damiak	One Five Zero	-05 field lights	field_lights
264fdb4ef26e4831a87af5b50a7c540c	David Guetta Feat. Kid Cudi	Unknown Album	Memories	Memories
c76bb951ff774f9dbe7334e8b6ad1c16	Deerhunter	Halcyon Digest	-01 Earthquake	Earthquake
da92585085d545eb94e5663d9d6de4c4	Deerhunter	Halcyon Digest	-02 Don't Cry	Don't_Cry
09986e90ee5d4ab7846e5ce1f8f25d1b	Deerhunter	Halcyon Digest	-04 Sailing	Sailing
b33a28361b484e9ea117b626e5b40e93	Deerhunter	Halcyon Digest	-05 Memory Boy	Memory_Boy
226f241fc567421dae3ac2336846f3fb	Deerhunter	Halcyon Digest	-06 Desire Lines	Desire_Lines
9992b7752d2048aebfc675d15b091cb0	Deerhunter	Halcyon Digest	-11 He Would Have Laughed	He_Would_Have_Laughed
e9d853a0f50244b19fd3dcd3aa958412	Dire Straits	Private Investigations_ The Best of Dire Straits & Mark Knopfler	Sultans Of Swing	Sultans_Of_Swing
11edda1923754bd58b55763422c6f602	Dub Pistols	Unknown Album	speed of light	speed_of_light
428a263999c04651a2dcf4d20f414978	El Ten Eleven	Every Direction Is North	-04 Estrella	Estrella
7d366e20e8534421a755ec8807433ddc	El Ten Eleven	Every Direction Is North	-05 Music for Staring At Ceilings	Music_for_Staring_At_Ceilings
71e659403b6548fc93cc7bc14bc483fc	El Ten Eleven	Every Direction Is North	-06 Kee	Kee
1631e114167a41dfab08f3007fd317b3	El Ten Eleven	Every Direction Is North	-07 Dax Pierson	Dax_Pierson
73fb370210c14b9fb6208f0f73f9cb49	El Ten Eleven	Every Direction Is North	-08 Living On Credit Blues	Living_On_Credit_Blues
e0bb02eec04b4d59991857261d4d1f83	El Ten Eleven	Every Direction Is North	-10 Bye Annie, Bye Joe, Bye Michael, Bye Jake	Bye_Annie_Bye_Joe_Bye_Michael_Bye_Jake
7054e94cab7041cc925b64c8219f1816	Eliot Lipp	PLM 2010 Fall Tour Opening Act Compilation	-07 Sand Castle	Sand_Castle
58b9dc2ddf8649358fd34416740b4a31	Elliott Smith	Either_Or	 Speed Trials	Speed_Trials
e9c9ace955de4b59964b56c1e5b6af55	Elliott Smith	Either_Or	 Alameda	Alameda
4441c27504fd4910b4703697b95350aa	Elliott Smith	Either_Or	 Ballad Of Big Nothing	Ballad_Of_Big_Nothing
aa5dbb9183444c0eadb4ad00f7e1561f	Elliott Smith	Either_Or	 Between The Bars	Between_The_Bars
96ce520d4a3943ee9958afa5f5da0015	Elliott Smith	Either_Or	 Pictures Of Me	Pictures_Of_Me
5d805483fe274ff982faf27bbfefd661	Elliott Smith	Either_Or	 No Name No. 5	No_Name_No_5
914d2084bcd74040a8ba8777ca6ae7e7	Elliott Smith	Either_Or	 Rose Parade	Rose_Parade
45888a8c58f340e686415e6ca1f31ae6	Elliott Smith	Either_Or	 Punch And Judy	Punch_And_Judy
8f6611b238fd4806af5bbf1c80bedf2f	Elliott Smith	Either_Or	 Cupid's Trick	Cupid's_Trick
68b2169573af4a1fa4a671a3bce48059	Elliott Smith	Either_Or	 2_45 a	2_45_a
8e727911f6ff43f1bb24ce8be4566c6c	Elliott Smith	Either_Or	 Say Yes	Say_Yes
06317fb248bb4503ba318f33dc8e0cdd	Elliott Smith	Elliott Smith	-01 Needle In The Hay	Needle_In_The_Hay
fe47e2f0a8c540ee813ac8e72467e20a	Elliott Smith	Elliott Smith	-02 Christian Brothers	Christian_Brothers
2e88629ab14e43999fb16339ef8c49fa	Elliott Smith	Roman Candle	 Roman Candle	Roman_Candle
1481d28a15ac4b2aa07149bd2304dc2f	Elliott Smith	Roman Candle	 Condor Ave	Condor_Ave
4ad1a48ca89949e99222b5a44cb4a548	Elliott Smith	Roman Candle	 No Name #1	No_Name_#1
1ab91a124d06487cb8ebae81fa62e20f	Elliott Smith	Roman Candle	 No Name #2	No_Name_#2
ddbcae605f6c4fbe845337c8a420be6d	Elliott Smith	Roman Candle	 No Name #	No_Name_#
1b5b09f1b6ba45d6af2af2ce3fed9d2f	Elliott Smith	Roman Candle	 Drive All over Town	Drive_All_over_Town
ca64ce7176b5415b9441923a4b4620e0	Elliott Smith	Roman Candle	 No Name #4	No_Name_#4
04cf27a6bb0d4298b1b814d9b5fbeea4	Elliott Smith	Roman Candle	 Last Call	Last_Call
3c62489eeefc469c9809318a8a87e00c	Elliott Smith	Roman Candle	 Kiwi Maddog 20-20	Kiwi_Maddog_2020
1ed38df451144714b6091ea7556cd947	Elliott Smith	XO	 Sweet Adeline	Sweet_Adeline
a1707207924942d28568b6e86adb834a	Embryon	Unknown Album	Fallout	Fallout
78f74bb29db146c3900e9d2f7f269120	Eric Prydz	Call On Me - EP	Call On Me	Call_On_Me
89994a0f4c4b4462bd8efad965c7122f	Evenings	Unknown Album	Goodbye Forever	Goodbye_Forever
ea1a43cc8d2f46e6ad3f7499e5978744	Fleet Foxes	Fleet Foxes	 Sun It Rises	Sun_It_Rises
f9b786885e3a4e53b53dc9c3fc5179e5	Fleet Foxes	Fleet Foxes	 White Winter Hymnal	White_Winter_Hymnal
e69587190e1e4b128366d6fd13e86648	Fleet Foxes	Fleet Foxes	 Ragged Wood	Ragged_Wood
c5d9dbd96f5a432da7470c443d36e355	Fleet Foxes	Fleet Foxes	 Quiet Houses	Quiet_Houses
97e5fca674064fa4b1085f1754515f7a	Fleet Foxes	Fleet Foxes	 Heard Them Stirring	Heard_Them_Stirring
5206bc07975a4771937d2a36616371f4	Fleet Foxes	Fleet Foxes	 Your Protector	Your_Protector
